제목,날짜,작성일,작성자,댓글
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:32:00,Francisco Choi,"개돼지들...
윤석열 대통령 되고, 뒤늦게 속았다는것 깨달은 (개돼지들 포함) 국민들이 저항하고, 이럴바에야 개혁한번 제대로 못하는 민주주의보다 친일파와 적폐 한꺼번에 청산하는 21 세기 버젼 프롤레타리아 혁명 일어날지도 모른다. 조국 가족을 고꾸라트린 개돼지들눈엔 자기보다 잘살고, 많이 배우고 잘난 놈들은 그저 타도의 대상이거든."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:17:00,자기이리와,김건희-양재택 연관 검색 해서 봐라...대통 깜인지 아닌지
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:11:00,서방,"돼지발정제 대선후보 미투천국 성개방국가 동성결혼 주둥이놀려돈번다 먹사.엿장사.도사.먹승.무당.철학관
하나님모습 불멸의태양님 예수.부처.무당 삼형제 햇빛에살다죽었다 천국은마음에있다 당신이메시아 신이다"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:37:00,아침 태양,"집안도 다스리지 못하고 형수에게 쌍욕을 하는 놈이 무슨 대통령 후보 여론 조사에 들어가는가요?
이제는 중도파 윤석열 전 검찰총장이 대세 입니다

원래부터 경제 몰라 폭망 상태에 세월호 정치적으로 그렇게도 이용 해 쳐 먹은 죄를 받아
코로나 사망자는 6.25 전쟁 이후 역대 정권에서 볼 수 없는 숫자 입니다
훗날 문재인 정권 하면 코로나 사망자 밖에 생각나는 것이 없을 것입니다

이제는 좌파는 모두 척결하고 우파는 무능하고
중도파 윤석열 검찰총장을 대통령으로 모시고 공정과 정의를 세우는 나라를 만들어야 합니다"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:07:00,chong,"@아침 태양 임명권자 등에 비수찌른 파렴치한 배은망덕한 넘이 대권주자
떵을 싸라 그리고 형수라도 인륜을 져버리는 행실을 하면
쌍욕이 아니라 더한것도 해야지 형수라고 말못하냐....."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:30:00,-,@chong 아니.. 살아있는 정권 수사하라며.
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:54:00,sic_****,"@- 윤짜장이 살아있는 권력 수사 한거냐?
지 밥그릇, 장모,처와 가진 권력 지키는 수사 한거지?
따리려거든 똑바로 따져라."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:49:00,구이,"@아침 태양 형수 쌍욕이라는 표현을 아직도 하는걸 보니 앞뒤정황도 모르는 놈이구만.
너 아직도 조중동 신문보니?
댓글 싸지르기전에 정보 갱신 좀 하면서 살아라.
글구 윤석열 집안 꼬라지는 안보니? 아예 그냥 종교를 하나 만들어라."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:33:00,에어워커,썩렬이는 MB 나 두환이처럼 대통령될 관상이 아니다.
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:35:00,안녕,"@에어워커 노무현, 이명박은 대통령이 될 관상이더냐 ?"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:32:00,김치국,"'리얼미터'가 구라인건 .. 검증된 일..
토왜, 국ㄸ당의 사주를 받는 '구라 조작미터'인 걸 아직도 모르는 사람이 있나..
오죽하면 다스뵈이다에서 쫒겨 났을까..
김어준이 보다 보다 도저히 안되겠으니 .. 발로 뻥.. 퇴출.. !!
박시영 *윈지코리아* 와만 단독으로 여론 진단중.. !!"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:58:00,준,@김치국 그 윈지코리아에서도 윤석열이 다자구도에서 지지율 33.8%로 선두에요. 이재명과 양자대결 펼치면 윤석열 47% vs 이재명 40% 나오고요
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:09:00,chong,"@준 그 지지율이 얼마나 갈까?
상관 뒤통수치는 배은망덕한 넘이 대통령 개가 웃는다."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:32:00,에어워커,김현미 변창흠 홍남기 문재인이 개판쳐놓으니 이재명님 지지도가 떨어지네. 헐 ~
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:30:00,do****,하산 할 날은 다가 오고~~~~~~~!! 그동안 저 질러온 죄가 태산보다 크고~~~~~~!! 지켜줄 놈 은 안 보이고 누가되도 큰집갈 일만 보이는데 잠은 안오고~~ 비는 하염없이 내리누나~!~~~~~~~!! 과연 뒤끝 쪄는 재명이에게 배신의 칼날을 맞을 것인가~!! 정의 의 칼~윤석열에게 목을 드리밀 것인가~~~~~!! 밤은 깊어오고 잠은 안오고~!
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:21:00,jchdgsfetwufbfhavx,윤 시롸냐
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:20:00,이나라왕,"도데체 윤석열이 뭐가 있다고 그렇게 지지율이 높을까?... 반민주당 심리가 그에게 몰리나?... 가장 검사스러운 검찰 출신인데, 만에하나 집권을 한다면 그동안의 검찰개혁 도로아미타불일게 뻔하고, 오히려 검찰중심의 사법개혁이 이루어질텐데, 그건 그동안 그렇게 검찰의 힘빼기에 들인 노력들이 허투로 돌아갈 것이다. 지금 왜 윤석열 밖에는 보수진영의 주자가 없는지도 한창 자기 반성이 필요한 시기에 그를 통해 보수가 다시 집권하는 세상을 만들어 보겠다는 보수층 일부의 사고가 참 어이가 없다... 문재인 정부가 중용한 인사인데, 과연 보수가 원하는대로 모든 정치와 정책들을 다시 우향우로 만들 수 있을 것인가?... 난 아닐 것이라고 봄... 그리고 반기문처럼 받쳐주는 기반 세력이 없으니 중도 포기할 게 예상된다는....."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:30:00,정의와 공정,"@이나라왕 윤 개검이 대통이 된다 ? 이게 말이 되냐 ?
이제 공부한단다 ! 정치.사회 .외교등등 과외수업을 한다니...어안이 벙벙
몇십년 정치경험을 가진 경력자도 대통 되기란 어려운 것인데...정신병원행 버스나 타라 !
더구나
마누라와 장모가 부동산사기등 범법자들인데...대선에 나온다고... 국민들이 바지 저고리인가 ?
알고도 지지하는 얼띠기들이야 원래 정신병원 탈출한 자들 아닌지...머리에 총 맞았는지... ?
여론기관놈과 개언론들은 얼띠기 생산이 과한 줄도 모르고 아직도 생산하는구먼~~"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 16:19:00,hhm****,이래서 언론개혁을 반드시 해야 하는 겁니다.
"유승민 “윤석열, 안철수 전부 국민의힘 들어와야”",2021-03-30 11:26:00,2021-03-30 18:07:00,김성진,유승민씨의 인기도가 어디쯤 와 있을까?
"유승민 “윤석열, 안철수 전부 국민의힘 들어와야”",2021-03-30 11:26:00,2021-03-30 13:03:00,exite,"전부 다 끌어모아도
딱 오세훈들이네..
서울시 상점 월세가 24만원이란다.
자기가 적어온 패널도 읽어보지도 않고
자기가 내놓은 정책이 뭔지도 모르는 것 같아...
100분 토론회 꿀잼이었는데,
오세훈이나, 안띨수나, 윤석열이나, 이런 부류 다 끌어모아 뭐하게?"
[이기수 칼럼]탄핵의 강과 조국의 강,2021-05-04 03:00:00,2021-05-11 13:34:00,최흥선,"삼성이 한 거짓말들, 예를 들어 '엘리엇'은 연준이 '테이퍼링'하는 동안, 삼성에 아무 짓도 안했지만 그 삼성 이사들은 자기들이 피해자들이라는 거다, 주주이익 극대화 모형이므로'(골 때림), '삼성 이사들은 박근혜 천막 당사 때부터 '로비'해서 자기들 차떼기 때부터 비자금을 덮으려 했지만 결국 못 덮은 것이다, 박영수 특검 때문에'(다행임), '민주당 의원들을 체포하자'는 '쿠데타'설 때문에 탄핵했다?(역시 골 때림), 제주 해군 기지는 이명박-김황식 작품이고 세월호 과적은 해군과 유병언 목사 공동 책임인데 그게 또 박근혜 탄핵감이란 거다(정말 바다로 간 탄핵), 이철희 목사인지 그런 사람 보수라 부를 수 없고 이젠 더럽게 중국에서 병까지 옮아왔고(대한민국 역주행), ..., 여러 가지 요인들을 감안했을 때, 최서임 탈세나 사기를 박근혜가 막지 못했고 최서임 비자금이 통치자금이라는 증거 없이 탄핵은 형식 절차적으로는 맞겠지만 정치 내용적으로 사실 안좋죠."
[이기수 칼럼]탄핵의 강과 조국의 강,2021-05-04 03:00:00,2021-05-04 13:22:00,오케이지,"윤석열 전 총장을 얘기할 떄 늘 ""탄핵""에 대해 언급이 있던데 탄핵과 윤석열은 별개의 건일 뿐 직접관계된 사안은 아니라고 봄.... 탄핵은 오로지 당시 야당과 여당의 등에 칼 꽃은 자들 그리고 헌재의 몰이성의 사람들과 치우진 관념에 물든 언론들 패널들이지... 다만 윤석열은 탄핵 이후의 수사에 대해 과연 중립적인 관점에서 수사지휘를 하였는지 아니면 연론과 당시의 분위기에 편승한 정치검사인지 여부로 판단해야 할 것이하 봄..."
[이기수 칼럼]탄핵의 강과 조국의 강,2021-05-04 03:00:00,2021-05-04 08:19:00,김광수,멍물
대통령 할아버지…이 약속은 못 지키는 건가요?,2021-05-05 14:55:00,2021-05-06 11:04:00,bea,이 약속 도 못 지키시는 건가요
"[이기수 칼럼]대선 리셋, ‘선거 공식’이 깨졌다",2021-04-13 03:00:00,2021-04-13 23:15:00,even,정신차리고 제대로된 정치를 하는 정당이 나오길 바란다!!
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 15:42:00,my chang,"중국의 대외 정책에
자신의 재능을 드러내지 않고 참고 기다리며 힘을 기른다,라는 뜻으로 쓰이는,
도광양회(韜光養晦)라는 숙어가 있음이라
이 숙어를 곱씹어 보시길....

이 올망졸망한 도토리같은 인사들이여,~
어찌하여 때가 되지않은 시기에 탄핵을 끄집어 내느뇨
이 머저리들이여,~~~"
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 14:08:00,반가운이,"이전투구로 열심히 싸우는 국민의 짐.
지지율이 많이 올랐으니 열심히 싸워야지.

자가당착, 중구난방, 자화자찬,패가망신,배은망덕
경거망동,과대망상,안하무인,유유상종,적반하장 이라는
수식어가 어울리는 패거리집단 국민의 짐."
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 11:51:00,필승,과거는 잊지만 기억은 해야합니다 정당성은 분명 따져보아야 한다고 사료됩니다
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 10:18:00,식민지 국민들,"문제인이 땅투기를 전혀 못잡아,,,,, 오세훈이를 서울 시장에 올려 놓았더니??? 재건축. 재개발로 다시 서을 집값이 천당을 향하여 오르고 있다!!! 과연 너도 도루목인가??? 서울시를 멋만 부리지말고!!! 실속있는……….. 집값잡고, 집없는 사람들 하루빨리 집 지어주어 고생고생을 그만 시키길 바란다."
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 10:17:00,식민지 국민들,"전국민 낙선운동 켐패인!!! = 지금부터!!! 2017년부터 집2채를 가진자들을 낙선시키고, 공무원은 진급을 10년간 보류시킬수있는 자를 내년 대통령 당선자이어야 한다!!! 문재인 관리자가 못하니, 우리같은 개나, 돼지들이라도 해야지……. 집값오르면, 물가오르고, 월급오르고….. 살기가 더욱 팍팍하고 힘들어진다. 특히 진보 젊은층들이.... 5G에 첨단장비가 있으면 뭐하냐,,,??? 내집에서 이사/피난 안가고 밥3끼 먹는게 더~ 중요하지! ㅎ ㅎ ㅎ 안그냐???"
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 10:17:00,식민지 국민들,"윤석열이,,,,??? 박근혜 탄핵의 1등공신으로 문재인에게 인정 받았지만,,,,, 결국은 문재인이 대통령 후보로 키워준셈!!! 국민의힘 쪼개지거라 둘로??? 조센징 놈들은 쪼개지는걸 취미로 하고 있지,,,,,, 부돈산 지분 쪼개기 처럼????"
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 09:52:00,수서현,선거 한번 이겼다고 다사 제미친 국짐세상인양 정신 못차리는 미친 국짐
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 08:32:00,고인돌,국민의 짐이 더 무거울까/
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 08:06:00,ks****,데려다 써라 망나니 칼잽이 칼맛좀 봐야지
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 06:38:00,커피홀릭,
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 06:03:00,커피홀릭,
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 06:03:00,CASSANDRA,"윤석렬이 국민의힘에 간다는 의사나 의견을 제시하지도 않았는데...
국민의힘 의원들은 ..뭔 짓을 하는건지... 김칫국 먼저 마시고 있으니...
도대체..이 사람들이 새로운 대한민국을 만들겠다는 정치인들 인지..
참 한심타...한심해..."
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 03:53:00,ksmoon,"정치업자들한테 삥을 뜯긴 이재용 부회장이 영어의 몸이 되어 있는데,
삥을 뜯어 먹은 이명박. 박근혜 사면은을 거론하는 것은 형평의 원칙에 어긋난다.
이재용을 먼저 사면하고, 두 사람은 진정어린 반성과 대국민 사과가 우선이다.
사과 없는 사면은 대국민 사기극이다."
국민의힘 흔드는 ‘탄핵 그림자’…야권재편 변수 되나,2021-04-29 20:56:00,2021-04-30 02:36:00,지나가는개,국민의암 당에서는 암 적인 존재들만 모아놓으셨수? ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-05-03 16:34:00,정의대장,"난 이재명이 찍을거야.
우리가족 모두 100% 내가 가장이니까."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-12 20:18:00,김성진,글쎄요? 윤석의 약점 버텨 나갈 수 있을까요?
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-12 17:59:00,srl****,일은 이재명이 잘한다
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-12 00:51:00,김미구,"초파일을 지나고
어떤 변화가 찾아올지 기다려 보자.

앞으로 한 달간에 인사개편과
혹시 사면이 있을 수 있기때문이다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 23:38:00,인동초,김종인 말도 안돼는 나발이고요? 윤석열은 안철수와함께 해야 시너지가 생 깁니다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 22:03:00,공오,윤의 거품이 이미 꺼지고 있는 시점에서 그를 띄우는 이 기사의 저의가 무엇인지 모르겠다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 21:44:00,임기석,"기사 제목과 가사 내용이, 천방지축마골피이다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 20:17:00,봄날,"이재명은 입으로 하는 정치 만 잘하는 좌파
그러니까 선전선동 만 있는 놈
이제는 우파도 싫다
차라리 중도파 윤석열 전 검찰총장이 대세"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 19:45:00,김성진,윤석열은 약점이 너무 많아 쉽지 않을 것이다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 19:34:00,조인선,여배우 성적테러하고 쌩깐 형수에 쌍욕한 인간말종과 조직깡패수장이며 호텔접대부남편이 대결하니 과히 역대급이다.몸값이 존버이다. ㅋㅋㅋㅋ
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 16:52:00,nbv,"처가의 실력들이 막강한 명문가이니
막강한 자본력도 있을거고 어찌하면 궁민들이 잘 혹하는 방법도
잘 알것이니 당연히 승리의 꿈 갖을만도하겠지"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 16:31:00,김미구,"둘 다 법말랭이 이다.
스타일은 버티기와 양단식으로 비슷하고,

만일 두 사람이 선거전을 치룬다면
그 지지세력들도 지금보다 더 강력 대립될 것이다.

한국은 이런 정치연속극을 계속 봐야하는
불쌍한 나라가 되 간다.

선거나 정치토양을 바꾸는 것이 필요하다.
증오나 자기감정풀이식의 지지세력은
오히려 민주주의를 가로막고 있다.

민생에 관한 정책은 접근해 가야 한다.
이것이 곤란한 사람은 후보로 부적합하다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 15:16:00,윤성운,"선거직으로 당선돼서 민생을 챙겨본 경험도 없고
오로지 검찰조직을위해 싸우던사람
보궐선거에서부터 당선돼 천천히 배워나가야지
지금 가족들 비리문제 최근에는 부동산투기 엄청난 세금납부도 안하고 이런식으로 검증돼 가다간 몇개월 안돼서 쪽박찹니다"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 14:03:00,y****,이재명이 대통령이 되어야 한다. 그래야 국민들에게 형이나 형수처럼 쌍욕을 허벌나게 해줄테니. 욕 많이 얻어 먹으면 오래 산다며
